ae3dcfb4-c7c5-4a17-99ec-928d5b2a3d2f, Address(street=улица Ленина, city=город Курск, state=Краснодарский край)
99260d39-964f-4af2-8ceb-f4b0640960f3, Address(street=переулок Фортовый, city=город Саратов, state=Московская область)
819a956f-f983-4ab3-8ce4-869b274e09da, Address(street=переулок Фортовый, city=город Брянск, state=Краснодарский край)
f3d3853f-ee2d-4809-8aa5-3b1080a6e94a, Address(street=проспект Комсомольский, city=город Воронеж, state=Воронежская область)
900917a2-d9fd-4cee-bf1d-a9b252ae2be6, Address(street=проспект Мира, city=город Волгоград, state=Ростовская область)
ae3dcfb4-c7c5-4a17-99ec-928d5b2a3d2f, Address(street=переулок Фортовый, city=город Волгоград, state=Ростовская область)
99260d39-964f-4af2-8ceb-f4b0640960f3, Address(street=переулок Фортовый, city=город Пенза, state=Воронежская область)
819a956f-f983-4ab3-8ce4-869b274e09da, Address(street=переулок Фортовый, city=город Орёл, state=Саратовская область)
f3d3853f-ee2d-4809-8aa5-3b1080a6e94a, Address(street=улица Пушкина, city=город Курск, state=Ростовская область)
900917a2-d9fd-4cee-bf1d-a9b252ae2be6, Address(street=переулок Фортовый, city=город Саратов, state=Воронежская область)
ae3dcfb4-c7c5-4a17-99ec-928d5b2a3d2f, Address(street=переулок Фортовый, city=город Орёл, state=Московская область)
99260d39-964f-4af2-8ceb-f4b0640960f3, Address(street=проспект Революции, city=город Самара, state=Саратовская область)
819a956f-f983-4ab3-8ce4-869b274e09da, Address(street=улица Ленина, city=город Брянск, state=Саратовская область)
f3d3853f-ee2d-4809-8aa5-3b1080a6e94a, Address(street=улица Пушкина, city=город Воронеж, state=Ростовская область)
900917a2-d9fd-4cee-bf1d-a9b252ae2be6, Address(street=проспект Мира, city=город Самара, state=Воронежская область)
